index,lat,lon,alt,X,Y,Z,psi,theta,phi,TAS,JSHead,JSPitch,JSRoll,throttle,thrust,fuel_flow,rudder,elevator,left_ail,right_ail,ground_speed,wind_speed,roll_rate,num_wp,x_wp,y_wp,z_wp,wp_dist,yaw_reff,wp_stat,ph_stat,wl_stat,yaw_error,JSRoll_Sim,Roll_lim_stat,KP,KD,error_rate
2456.0,-31.814,120.21,2535.8,2150.6,9099.6,-413.62,262.73,-3.8509,-3.3022,78.476,0.0039216,0.11373,0.0062718,0.3577,882.01,0.035703,0.0,-3.9683,0.027213,-0.07481900000000001,78.476,0.0,0.19672,5.0,1500.0,9000.0,1000.0,658.23,261.3,1.0,0.0,0.0,1.4373,-0.0027164999999999997,0.0,-0.0027164999999999997,0.0,0.0
2460.0,-31.814,120.21,2532.2,2120.3,9095.6,-417.18,262.6,-3.91,-3.2310000000000003,78.839,0.0039216,0.11373,0.0023493000000000003,0.3577,880.76,0.035671,0.0,-3.9544,0.0026585000000000003,-0.025709,78.839,0.0,0.023612,5.0,1500.0,9000.0,1000.0,627.62,261.24,1.0,0.0,0.0,1.3588,-0.0025681,0.0,-0.0025681,0.0,0.0
2464.0,-31.814,120.2,2527.5,2079.1,9090.1,-421.92,262.43,-3.9471,-2.8721,79.317,0.0039216,0.11373,0.0080803,0.3577,879.12,0.035629,0.0,-3.9403,0.035181,-0.090755,79.317,0.0,0.44275,5.0,1500.0,9000.0,1000.0,586.07,261.16,1.0,0.0,0.0,1.2767,-0.0024129999999999998,0.0,-0.0024129999999999998,0.0,0.0
2468.0,-31.814,120.2,2525.3,2060.3,9087.8,-424.1,262.37,-3.9558,-2.8641,79.53399999999998,0.0039216,0.11373,-0.0076301,0.3577,878.37,0.03561,0.0,-3.9163,-0.11459000000000001,0.057492999999999995,79.53399999999998,0.0,-0.19895,5.0,1500.0,9000.0,1000.0,567.15,261.1,1.0,0.0,0.0,1.2719,-0.0024039,0.0,-0.0024039,0.0,0.0
2472.0,-31.814,120.2,2521.8,2030.0,9083.6,-427.58,262.26,-3.9457,-2.9797,79.87899999999998,0.0039216,0.11373,-0.025397,0.3577,877.18,0.03558,0.0,-3.8835,-0.33869,0.16954,79.87899999999998,0.0,-0.9557399999999999,5.0,1500.0,9000.0,1000.0,536.5,261.04,1.0,0.0,0.0,1.2224,-0.0023103,0.0,-0.0023103,0.0,0.0
2476.0,-31.814,120.2,2517.0,1988.8,9077.9,-432.35,262.09,-3.9148,-3.069,80.345,0.0039216,0.11373,0.007138899999999998,0.3577,875.58,0.035539999999999995,0.0,-3.9024,0.031719,-0.08383,80.345,0.0,0.2854,5.0,1500.0,9000.0,1000.0,494.93,260.95,1.0,0.0,0.0,1.1417,-0.0021577,0.0,-0.0021577,0.0,0.0
2480.0,-31.814,120.2,2514.7,1968.5,9074.9,-434.68,262.0,-3.8857,-3.0293,80.57,0.0039216,0.11373,-0.0044643999999999994,0.3577,874.8,0.035519999999999996,0.0,-3.8938,-0.07509,0.037741000000000004,80.57,0.0,-0.058444,5.0,1500.0,9000.0,1000.0,474.48,260.91,1.0,0.0,0.0,1.0867,-0.0020538,0.0,-0.0020538,0.0,0.0
2484.0,-31.814,120.2,2510.8,1933.8,9070.1,-438.62,261.86,-3.8149,-3.1209,80.946,0.0039216,0.11373,-0.010523999999999999,0.3577,873.51,0.035488,0.0,-3.87,-0.15328,0.076836,80.946,0.0,-0.27155999999999997,5.0,1500.0,9000.0,1000.0,439.46,260.83,1.0,0.0,0.0,1.0344,-0.0019551,0.0,-0.0019551,0.0,0.0
2488.0,-31.814,120.2,2506.4,1895.5,9064.6,-442.92,261.71,-3.7089999999999996,-2.7866,81.351,0.0039216,0.11373,0.0095663,0.3577,872.12,0.035454,0.0,-3.8696,0.042667000000000004,-0.10572999999999999,81.351,0.0,0.60092,5.0,1500.0,9000.0,1000.0,400.77,260.73,1.0,0.0,0.0,0.97887,0.008359899999999998,0.0,-0.0018500999999999997,0.0,0.0
1.0,-31.50800000000001,118.73,2512.0,248.69,65.10600000000001,18.039,75.057,7.2847,-0.8628899999999999,67.344,-0.0039216,0.13725,-0.048193,0.77777,-94.904,0.0,0.0,-4.7022,-0.59267,0.28614,67.344,0.0,-2.2477,1.0,3795.0,1665.0,1000.0,3890.5,65.718,1.0,0.0,0.0,9.3396,-0.035210000000000005,0.0,-0.035210000000000005,0.0,0.0
4.0,-31.50800000000001,118.73,2517.0,326.99,85.823,23.095,74.675,6.7202,-2.5610000000000004,65.881,-0.0039216,0.13725,-0.027382999999999998,0.59501,-90.79299999999999,0.0,0.0,-4.862,-0.34068000000000004,0.16014,65.881,0.0,-1.0731,1.0,3795.0,1665.0,1000.0,3810.6,65.518,1.0,0.0,0.0,9.157,-0.034522000000000004,0.0,-0.034522000000000004,0.0,0.0
8.0,-31.50800000000001,118.73,2521.8,432.12,114.58,28.013,73.87,5.4036,-3.8615,64.187,-0.0039216,0.13725,-0.010187,0.5072300000000001,-86.104,0.0,0.0,-4.9519,-0.12219000000000001,0.0509,64.187,0.0,-0.39181,1.0,3795.0,1665.0,1000.0,3703.1,65.248,1.0,0.0,0.0,8.6216,-0.014659,0.0,-0.032503,0.017844,-0.53747
12.0,-31.50800000000001,118.73,2523.5,531.45,143.34,29.719,72.92,3.5495,-4.5565,63.082,-0.0039216,0.13725,-0.0036966,0.44138999999999995,52.497,0.017324000000000003,0.0,-5.0498,-0.043474,0.011541,63.082,0.0,-0.047178,1.0,3795.0,1665.0,1000.0,3600.9,65.002,1.0,0.0,0.0,7.9176,-0.029849,0.0,-0.029849,0.0,0.0
16.0,-31.506999999999998,118.73,2521.5,626.43,172.33,27.855999999999998,71.95100000000002,1.4674,-4.6714,62.625,-0.0039216,0.13725,0.0081296,0.47503,69.24600000000001,0.017719,0.0,-5.0681,0.066715,-0.13304000000000002,62.625,0.0,-0.12247999999999999,1.0,3795.0,1665.0,1000.0,3502.6,64.775,1.0,0.0,0.0,7.176,-0.027054,0.0,-0.027054,0.0,0.0
20.0,-31.506999999999998,118.74,2512.5,759.12,215.93,18.954,70.65,-1.5503,-4.3021,62.972,-0.0039216,0.13725,-2.7181e-05,0.47503,86.96600000000002,0.018123,0.0,-5.0569999999999995,0.0051252,-0.012759,62.972,0.0,0.036913999999999995,1.0,3795.0,1665.0,1000.0,3364.0,64.484,1.0,0.0,0.0,6.1662,-0.023246,0.0,-0.023246,0.0,0.0
24.0,-31.506999999999998,118.74,2501.8,852.65,248.96,8.3538,69.774,-3.4760000000000004,-4.0629,63.875,-0.0039216,0.13725,0.0079545,0.47503,118.08,0.018815000000000002,0.0,-5.0293,0.057842,-0.11529,63.875,0.0,0.28356,1.0,3795.0,1665.0,1000.0,3265.4,64.3,1.0,0.0,0.0,5.4735,-0.020635,0.0,-0.020635,0.0,0.0
28.0,-31.506,118.74,2486.6,955.61,286.86,-6.7433,68.865,-5.1695,-3.8195,65.38,-0.0039216,0.13725,0.012275,0.47503,212.8,0.020925,0.0,-4.9791,0.085302,-0.17021,65.38,0.0,0.44842,1.0,3795.0,1665.0,1000.0,3156.2,64.11,1.0,0.0,0.0,4.7548,0.012003,0.0,-0.017925999999999997,0.024604,-0.7410800000000001
32.0,-31.506,118.74,2468.6,1060.0,327.1,-24.658,68.10600000000001,-6.3592,-2.9793,67.35,-0.0039216,0.13725,0.009749200000000001,0.47503,557.27,0.028574000000000002,0.0,-4.9305,0.06805499999999999,-0.13572,67.35,0.0,0.4173,1.0,3795.0,1665.0,1000.0,3044.7,63.933,1.0,0.0,0.0,4.1728,0.0089378,0.0,-0.015731000000000002,0.0,0.0
36.0,-31.506,118.74,2447.0,1174.6,372.85,-46.175,67.491,-7.136,-2.2434,70.089,-0.0039216,0.13725,0.0075093,0.47503,1182.0,0.042805,0.0,-4.8948,0.053935000000000004,-0.10747999999999999,70.089,0.0,0.32729,1.0,3795.0,1665.0,1000.0,2921.7,63.751999999999995,1.0,0.0,0.0,3.739,0.0071783,0.0,-0.014096000000000001,0.010131,-0.30515
40.0,-31.505,118.74,2424.9,1289.1,420.29,-68.183,67.033,-7.0472,-1.6892,72.986,-0.0039216,0.13725,0.0056201,0.47503,1320.4,0.04596,0.0,-4.7731,0.042086,-0.08377899999999999,72.986,0.0,0.24768,1.0,3795.0,1665.0,1000.0,2798.0,63.58600000000001,1.0,0.0,0.0,3.4472,0.0050677,0.0,-0.012996,0.0,0.0
44.0,-31.505,118.74,2402.0,1416.0,473.66,-90.899,66.658,-6.0073,-1.2439,75.817,-0.0039216,0.13725,0.004131800000000001,0.47503,1331.2,0.046178,0.0,-4.6464,0.032764,-0.065136,75.817,0.0,0.18447,1.0,3795.0,1665.0,1000.0,2660.6,63.398999999999994,1.0,0.0,0.0,3.2588,0.0037318000000000004,0.0,-0.012286,0.0,0.0
48.0,-31.504,118.74,2382.8,1543.6,528.28,-110.01,66.381,-4.2378,-0.93142,78.023,-0.0039216,0.13725,0.0030993,0.47503,1325.5,0.046023,0.0,-4.5512,0.026362,-0.052333000000000005,78.023,0.0,0.13712,1.0,3795.0,1665.0,1000.0,2522.1,63.21100000000001,1.0,0.0,0.0,3.1704,0.0027943,0.0,-0.011951999999999999,0.0,0.0
52.0,-31.504,118.74,2368.7,1670.5,583.3,-124.02,66.172,-1.9994,-0.71611,79.486,-0.0039216,0.13725,0.0022923,0.47503,1320.6,0.045897,0.0,-4.4892,0.021463,-0.042533,79.486,0.0,0.094054,1.0,3795.0,1665.0,1000.0,2384.0,63.016999999999996,1.0,0.0,0.0,3.1555,0.0023125999999999997,0.0,-0.011895999999999999,-0.0048511000000000006,0.14612
56.0,-31.503,118.75,2360.6,1793.8,637.04,-131.97,66.014,0.4148,-0.57267,80.163,-0.0039216,0.13725,0.0018035999999999998,0.47503,1318.4,0.045841,0.0,-4.4593,0.018428,-0.036463999999999996,80.163,0.0,0.071628,1.0,3795.0,1665.0,1000.0,2249.8,62.812,1.0,0.0,0.0,3.202,0.0017866,0.0,-0.012071,-0.006441,0.19401
60.0,-31.503,118.75,2358.5,1935.9,699.44,-133.92,65.867,3.2947,-0.46283,80.048,-0.0039216,0.13725,0.0014037000000000001,0.47503,1319.2,0.045864999999999996,0.0,-4.4597,0.016024,-0.031655,80.048,0.0,0.048877,1.0,3795.0,1665.0,1000.0,2094.9,62.553999999999995,1.0,0.0,0.0,3.313,0.0013885,0.0,-0.012490000000000001,0.0,0.0
64.0,-31.502,118.75,2363.8,2073.7,760.53,-128.47,65.748,5.9832,-0.39005,79.051,-0.0039216,0.13725,0.0011783,0.47503,1323.4,0.045974,0.0,-4.4947,0.014671,-0.028950999999999998,79.051,0.0,0.036084,1.0,3795.0,1665.0,1000.0,1944.5,62.28,1.0,0.0,0.0,3.4676,0.001212,0.0,-0.013073,-0.0073979,0.22283000000000008
68.0,-31.502,118.75,2374.0,2195.5,814.43,-118.15,65.657,8.0925,-0.34453,77.505,-0.0039216,0.13725,0.0010958,0.47503,1329.4,0.046133,0.0,-4.5531,0.014213,-0.028033999999999996,77.505,0.0,0.029387,1.0,3795.0,1665.0,1000.0,1811.6,61.997,1.0,0.0,0.0,3.6599,0.0010335999999999998,0.0,-0.013798,0.0,0.0
72.0,-31.500999999999998,118.75,2389.0,2320.2,870.21,-103.04,65.57300000000001,9.8221,-0.31395,75.359,-0.0039216,0.13725,0.00096426,0.47503,1337.7,0.046353,0.0,-4.6395,0.013441,-0.026489999999999996,75.359,0.0,0.020965,1.0,3795.0,1665.0,1000.0,1675.3,61.678999999999995,1.0,0.0,0.0,3.8945,0.00094185,0.0,-0.014681999999999999,0.0,0.0
76.0,-31.500999999999998,118.75,2406.6,2440.6,924.08,-85.323,65.498,10.889000000000001,-0.29543,72.88,-0.0039216,0.13725,0.0008954000000000002,0.47503,1347.1,0.046604,0.0,-4.7461,0.013078999999999999,-0.025767,72.88,0.0,0.01408,1.0,3795.0,1665.0,1000.0,1543.8,61.318999999999996,1.0,0.0,0.0,4.1793,0.00089648,0.0,-0.015756,-0.014403999999999997,0.43386
80.0,-31.5,118.75,2424.2,2552.3,974.15,-67.637,65.433,11.182,-0.2834,70.402,-0.0039216,0.13725,0.00085229,0.47503,1356.5,0.046853,0.0,-4.8606,0.012792,-0.025192,70.402,0.0,0.01325,1.0,3795.0,1665.0,1000.0,1421.8,60.928999999999995,1.0,0.0,0.0,4.5038,0.00085019,0.0,-0.016978999999999998,0.0,0.0
84.0,-31.5,118.76,2440.7,2658.9,1022.3,-51.073,65.373,10.710999999999999,-0.27397,68.065,-0.0039216,0.13725,0.00082763,0.47503,1365.3,0.047092,0.0,-4.9782,0.012647,-0.024903,68.065,0.0,0.011809,1.0,3795.0,1665.0,1000.0,1305.3,60.503,1.0,0.0,0.0,4.8703,0.00082192,0.0,-0.018361000000000002,0.0,0.0
88.0,-31.499000000000002,118.76,2456.2,2774.2,1074.5,-35.451,65.212,9.3129,-1.4447,65.855,-0.0039216,0.13725,-0.021981999999999998,0.47503,1373.4,0.047313,0.0,-5.0808,-0.26842,0.12402,65.855,0.0,-0.9515899999999999,1.0,3795.0,1665.0,1000.0,1179.3,59.951,1.0,0.0,0.0,5.2607,-0.019833,0.0,-0.019833,0.0,0.0
92.0,-31.499000000000002,118.76,2466.6,2879.4,1122.7,-24.965,64.653,7.2727,-3.1984,64.39699999999999,-0.0039216,0.13725,0.0022304,0.47503,1378.8,0.047461,0.0,-5.1745,0.033679,-0.066966,64.39699999999999,0.0,-0.56699,1.0,3795.0,1665.0,1000.0,1064.2,59.361999999999995,1.0,0.0,0.0,5.2908,-0.0094727,0.0,-0.019946000000000002,0.010473,-0.31547
96.0,-31.498,118.76,2472.0,2978.7,1169.4,-19.455,63.809,4.834,-4.2839,63.696999999999996,-0.0039216,0.13725,-0.010452,0.47503,1381.3,0.047531,0.0,-5.2055,-0.11225999999999996,0.045932,63.696999999999996,0.0,-0.7590899999999999,1.0,3795.0,1665.0,1000.0,954.96,58.735,1.0,0.0,0.0,5.0736,-0.019127,0.0,-0.019127,0.0,0.0
100.0,-31.498,118.76,2472.4,3081.7,1220.3,-18.969,62.861000000000004,2.0715,-3.7258,63.78100000000001,-0.0039216,0.13725,0.011855,0.47503,1380.9,0.04752,0.0,-5.2441,0.081633,-0.16287000000000001,63.78100000000001,0.0,0.48576,1.0,3795.0,1665.0,1000.0,840.55,58.06100000000001,1.0,0.0,0.0,4.7994,0.011177,0.0,-0.018094,0.0,0.0
104.0,-31.498,118.76,2467.2,3187.6,1274.3,-24.087,62.118,-0.5736899999999999,-2.9218,64.71,-0.0039216,0.13725,0.0094906,0.47503,1377.4,0.047423,0.0,-5.1982,0.06664199999999999,-0.13289,64.71,0.0,0.39413000000000004,1.0,3795.0,1665.0,1000.0,722.24,57.24800000000001,1.0,0.0,0.0,4.8698,0.008765299999999998,0.0,-0.018359,0.0,0.0
108.0,-31.497,118.76,2456.6,3297.1,1332.2,-34.61,61.445,-2.75,-3.7985,66.398,-0.0039216,0.13725,0.019708,0.47503,1371.0,0.047248000000000005,0.0,-5.046,0.17155,-0.34271999999999997,66.398,0.0,-1.3942,1.0,3795.0,1665.0,1000.0,598.87,56.245,1.0,0.0,0.0,5.2001,-0.013156999999999999,0.0,-0.019604,0.006447399999999999,-0.1942
112.0,-31.496,118.76,2443.0,3400.8,1388.5,-48.091,60.284,-4.1488,-5.4935,68.414,-0.0039216,0.13725,-0.049315,0.47503,1363.5,0.047045,0.0,-4.9736,-0.64061,0.31011,68.414,0.0,-1.3806,1.0,3795.0,1665.0,1000.0,481.5,54.956,1.0,0.0,0.0,5.3282,-0.020087,0.0,-0.020087,0.0,0.0
116.0,-31.496,118.76,2427.0,3505.9,1449.0,-64.002,59.248999999999995,-4.7557,-1.0519,70.653,-0.0039216,0.13725,0.078188,0.47503,1355.2,0.046820999999999995,0.0,-4.8788,0.4975600000000001,-0.9947299999999999,70.653,0.0,3.5427,2.0,6255.0,2265.0,1000.0,2867.6,73.468,1.0,0.0,0.0,-14.219000000000001,0.053605999999999994,0.0,0.053605999999999994,0.0,0.0
120.0,-31.495,118.77,2410.5,3611.8,1510.6,-80.374,59.826,-4.6207,3.9043,72.825,-0.0039216,0.13725,0.039981,0.47503,1347.2,0.046608,0.0,-4.7715,0.25093000000000004,-0.50146,72.825,0.0,2.1215,2.0,6255.0,2265.0,1000.0,2748.7,74.071,1.0,0.0,0.0,-14.245,0.053703999999999995,0.0,0.053703999999999995,0.0,0.0
124.0,-31.495,118.77,2393.5,3730.0,1577.3,-97.229,61.33600000000001,-3.8615,6.7189,74.925,-0.0039216,0.13725,0.005454,0.47503,1339.4,0.046403,0.0,-4.6668,0.030933,-0.061473,74.925,0.0,0.7454,2.0,6255.0,2265.0,1000.0,2617.0,74.764,1.0,0.0,0.0,-13.427999999999999,0.050623,0.0,0.050623,0.0,0.0
128.0,-31.494,118.77,2379.5,3848.2,1639.2,-111.18,63.136,-2.6296,7.4067,76.543,-0.0039216,0.13725,-0.0066763000000000005,0.47503,1333.5,0.046248000000000004,0.0,-4.579,-0.091445,0.035526,76.543,0.0,0.10462,2.0,6255.0,2265.0,1000.0,2486.8,75.426,1.0,0.0,0.0,-12.29,0.046332,0.0,0.046332,0.0,0.0
132.0,-31.494,118.77,2368.4,3974.4,1700.6,-122.18,65.095,-0.9355100000000001,7.9116,77.70100000000002,-0.0039216,0.13725,-0.017342,0.47503,1329.5,0.046143,0.0,-4.5261,-0.23245,0.10603,77.70100000000002,0.0,-0.17756,2.0,6255.0,2265.0,1000.0,2349.4,76.09899999999998,1.0,0.0,0.0,-11.004000000000001,0.041486,0.0,0.041486,0.0,0.0
136.0,-31.493000000000002,118.77,2362.1,4094.8,1753.9,-128.38,66.992,0.84721,7.5889,78.232,-0.0039216,0.13725,-0.0060256,0.47503,1327.7,0.0461,0.0,-4.5032,-0.061961,0.020784,78.232,0.0,-0.43193000000000004,2.0,6255.0,2265.0,1000.0,2219.8,76.688,1.0,0.0,0.0,-9.6951,0.036551,0.0,0.036551,0.0,0.0
140.0,-31.493000000000002,118.77,2360.1,4216.7,1803.3,-130.34,68.749,2.7238,7.1936,78.222,-0.0039216,0.13725,-0.009445,0.47503,1328.0,0.046109,0.0,-4.495,-0.10187,0.040737999999999996,78.222,0.0,-0.6621600000000001,2.0,6255.0,2265.0,1000.0,2090.0,77.238,1.0,0.0,0.0,-8.4888,0.032003,0.0,0.032003,0.0,0.0
144.0,-31.491999999999997,118.77,2363.2,4362.4,1857.0,-127.2,70.64699999999998,4.8907,6.2304,77.533,-0.0039216,0.13725,-0.016487,0.47503,1330.9,0.046186000000000005,0.0,-4.5172,-0.1939,0.086752,77.533,0.0,-0.87387,2.0,6255.0,2265.0,1000.0,1936.1,77.834,1.0,0.0,0.0,-7.1874,-0.024145,0.0,0.027097000000000003,-0.051241999999999996,1.5434
148.0,-31.491999999999997,118.77,2370.0,4485.0,1898.0,-120.37,72.017,6.5234,5.3559,76.443,-0.0039216,0.13725,-0.0051722,0.47503,1335.3,0.046301999999999996,0.0,-4.5655,-0.038127,0.008867100000000001,76.443,0.0,-0.73845,2.0,6255.0,2265.0,1000.0,1807.7,78.285,1.0,0.0,0.0,-6.2674,0.023628,0.0,0.023628,0.0,0.0
152.0,-31.491,118.78,2383.0,4638.8,1945.2,-107.37,73.46300000000002,8.141,4.7133,74.527,-0.0039216,0.13725,-0.0020794,0.47503,1342.7,0.046498000000000005,0.0,-4.6648,-0.026957,0.0032825000000000003,74.527,0.0,0.1077,2.0,6255.0,2265.0,1000.0,1647.6,78.809,1.0,0.0,0.0,-5.3462,-0.020868,0.0,0.020155000000000003,-0.041023000000000004,1.2356
156.0,-31.491,118.78,2396.4,4767.1,1981.5,-93.936,74.594,8.9543,4.14,72.602,-0.0039216,0.13725,-0.013369999999999998,0.47503,1350.0,0.046694,0.0,-4.7353,-0.15611,0.067858,72.602,0.0,-0.69515,2.0,6255.0,2265.0,1000.0,1514.6,79.214,1.0,0.0,0.0,-4.6198,-0.01242,0.0,0.017417,0.0,0.0
160.0,-31.491,118.78,2411.3,4899.1,2016.6,-79.04899999999998,75.507,9.1593,3.0939,70.483,-0.0039216,0.13725,-0.0093862,0.47503,1358.0,0.04691,0.0,-4.8472,-0.10618,0.042893,70.483,0.0,-0.5203800000000001,2.0,6255.0,2265.0,1000.0,1378.4,79.617,1.0,0.0,0.0,-4.1101,-0.009281600000000001,0.0,0.015494999999999997,0.0,0.0
164.0,-31.491,118.78,2425.7,5034.1,2049.9,-64.62899999999999,76.199,8.6064,2.3,68.433,-0.0039216,0.13725,-0.0075859,0.47503,1365.7,0.047116000000000005,0.0,-4.9542,-0.08553200000000001,0.03257,68.433,0.0,-0.39099,2.0,6255.0,2265.0,1000.0,1239.8,80.008,1.0,0.0,0.0,-3.8093,-0.0075283999999999985,0.0,0.014361,-0.024921000000000002,0.75064
168.0,-31.49,118.78,2437.4,5164.6,2080.9,-53.021,76.697,7.3208,1.7007,66.791,-0.0039216,0.13725,-0.005474199999999999,0.47503,1371.9,0.047284,0.0,-5.0467,-0.059480999999999985,0.019544,66.791,0.0,-0.28918,2.0,6255.0,2265.0,1000.0,1105.8,80.416,1.0,0.0,0.0,-3.7192,-0.0051021999999999994,0.0,0.014021,0.0,0.0
172.0,-31.49,118.78,2444.5,5282.1,2107.9,-45.927,77.03,5.6327,1.2795,65.816,-0.0039216,0.13725,-0.0041299,0.47503,1375.4,0.047382,0.0,-5.1066,-0.043166,0.011387000000000001,65.816,0.0,-0.21718,2.0,6255.0,2265.0,1000.0,985.5,80.827,1.0,0.0,0.0,-3.7971,-0.0038385,0.0,0.014315000000000001,0.0,0.0
176.0,-31.49,118.78,2447.6,5401.0,2134.5,-42.828,77.277,3.623,0.9434899999999999,65.445,-0.0039216,0.13725,-0.0030493,0.47503,1376.8,0.047418,0.0,-5.1342,-0.029713,0.00466,65.445,0.0,-0.16910999999999998,2.0,6255.0,2265.0,1000.0,863.87,81.31,1.0,0.0,0.0,-4.0329,-0.0028305,0.0,0.015203999999999999,0.0,0.0
180.0,-31.49,118.79,2446.3,5520.7,2160.9,-44.146,77.457,1.5308,0.67471,65.735,-0.0039216,0.13725,-0.0022667,0.47503,1375.6,0.047387,0.0,-5.1247,-0.020144,-0.00012429,65.735,0.0,-0.12975,2.0,6255.0,2265.0,1000.0,741.64,81.929,1.0,0.0,0.0,-4.4717,-0.0020241,0.0,0.016858,0.0,0.0
184.0,-31.489,118.79,2440.9,5638.9,2186.4,-49.555,77.577,-0.29957,0.51097,66.609,-0.0039216,0.13725,0.023708,0.47503,1372.3,0.047297000000000006,0.0,-5.0804,0.16253,-0.32466,66.609,0.0,0.65137,2.0,6255.0,2265.0,1000.0,621.07,82.73100000000002,1.0,0.0,0.0,-5.154,0.019430000000000003,0.0,0.019430000000000003,0.0,0.0
188.0,-31.489,118.79,2432.1,5758.6,2212.0,-58.451,78.105,-1.7117,3.5285,67.947,-0.0039216,0.13725,0.065884,0.47503,1367.3,0.04716,0.0,-5.0151,0.4323,-0.86421,67.947,0.0,2.2571,2.0,6255.0,2265.0,1000.0,499.24,83.90299999999998,1.0,0.0,0.0,-5.797999999999999,0.035052999999999994,0.0,0.021858000000000002,0.013194999999999998,-0.39743
192.0,-31.489,118.79,2420.1,5886.2,2237.3,-70.51,79.37100000000002,-2.6359,2.8858,69.66,-0.0039216,0.13725,-0.095708,0.47503,1360.9,0.046988,0.0,-4.7318,-1.1788,0.57919,69.66,0.0,-4.8419,3.0,8055.0,3075.0,1000.0,2324.9,68.881,1.0,0.0,0.0,10.49,-0.039546,0.0,-0.039546,0.0,0.0
196.0,-31.489,118.79,2406.3,6019.6,2262.0,-84.375,79.092,-2.9169,-2.5966,71.524,-0.0039216,0.13725,-0.045585,0.47503,1354.0,0.046801999999999996,0.0,-4.8069,-0.55899,0.2693,71.524,0.0,-2.1684,3.0,8055.0,3075.0,1000.0,2191.7,68.227,1.0,0.0,0.0,10.865,-0.039257,0.0,-0.04096,0.0017036999999999998,-0.051315
200.0,-31.488000000000003,118.79,2391.5,6165.4,2290.8,-99.162,77.813,-2.5563,-5.2966,73.396,-0.0039216,0.13725,-0.019356,0.47503,1347.1,0.04662,0.0,-4.7452,-0.22937,0.10449000000000001,73.396,0.0,-1.0072,3.0,8055.0,3075.0,1000.0,2045.9,67.46,1.0,0.0,0.0,10.353,-0.0060853,0.0,-0.03903,0.032945,-0.99231
204.0,-31.488000000000003,118.79,2379.7,6298.8,2320.3,-111.09,76.256,-1.7399,-6.3179,74.81,-0.0039216,0.13725,0.00041224,0.47503,1342.0,0.046485000000000005,0.0,-4.7048,0.012134,-0.023875,74.81,0.0,-0.10922,3.0,8055.0,3075.0,1000.0,1911.4,66.74600000000001,1.0,0.0,0.0,9.5107,-0.035855,0.0,-0.035855,0.0,0.0
208.0,-31.488000000000003,118.79,2370.3,6432.3,2353.7,-120.52,74.581,-0.55428,-6.7129,75.837,-0.0039216,0.13725,-0.032448000000000005,0.47503,1338.3,0.046389,0.0,-4.6458,-0.42826000000000003,0.20393,75.837,0.0,-0.71823,3.0,8055.0,3075.0,1000.0,1775.8,66.035,1.0,0.0,0.0,8.5466,-0.032221,0.0,-0.032221,0.0,0.0
212.0,-31.487,118.8,2364.1,6565.0,2391.3,-126.74,72.921,0.87235,-6.211,76.416,-0.0039216,0.13725,-0.028671,0.47503,1336.3,0.046339,0.0,-4.6163,-0.39488,0.18724000000000002,76.416,0.0,-0.13095,3.0,8055.0,3075.0,1000.0,1639.4,65.351,1.0,0.0,0.0,7.5698,0.015046,0.0,-0.028538,0.043584,-1.3128
216.0,-31.487,118.8,2361.6,6697.0,2432.5,-129.31,71.347,2.4136,-5.8689,76.515,-0.0039216,0.13725,-0.004725899999999999,0.47503,1336.2,0.046337,0.0,-4.6143,-0.07171699999999999,0.025662,76.515,0.0,0.2946,3.0,8055.0,3075.0,1000.0,1502.3,64.679,1.0,0.0,0.0,6.6677,-0.025137,0.0,-0.025137,0.0,0.0
220.0,-31.487,118.8,2362.9,6833.4,2479.6,-128.01,69.765,4.0112,-5.8627,76.113,-0.0039216,0.13725,0.033504,0.47503,1337.9,0.046383999999999995,0.0,-4.6268,0.23724,-0.47408999999999996,76.113,0.0,0.41358,3.0,8055.0,3075.0,1000.0,1359.0,64.014,1.0,0.0,0.0,5.7505,-0.021679,0.0,-0.021679,0.0,0.0
224.0,-31.486,118.8,2368.1,6969.8,2530.2,-122.85,68.29,5.4641,-5.1529,75.23,-0.0039216,0.13725,0.016733,0.47503,1341.5,0.046478,0.0,-4.6691,0.1109,-0.2214,75.23,0.0,0.78133,3.0,8055.0,3075.0,1000.0,1214.3,63.343999999999994,1.0,0.0,0.0,4.9457,0.016526,0.0,-0.018645,0.023048,-0.69422
228.0,-31.486,118.8,2376.1,7098.9,2582.2,-114.81,67.13,6.5963,-3.9078,73.998,-0.0039216,0.13725,0.012838999999999998,0.47503,1346.3,0.046606,0.0,-4.7169,0.085833,-0.17127,73.998,0.0,0.64107,3.0,8055.0,3075.0,1000.0,1075.7,62.731,1.0,0.0,0.0,4.3989,0.011724,0.0,-0.016584,0.0,0.0
232.0,-31.485,118.8,2386.6,7230.9,2637.9,-104.3,66.232,7.352,-2.9548,72.456,-0.0039216,0.13725,0.009456200000000001,0.47503,1352.2,0.046765,0.0,-4.7831,0.065222,-0.13005,72.456,0.0,0.4613100000000001,3.0,8055.0,3075.0,1000.0,932.82,62.058,1.0,0.0,0.0,4.1734,0.0094291,0.0,-0.015734,0.035143,-1.0585
